text_ENG	text_JPN	text_CHT	text_CHS	text_KOR
Atelier Resleriana	レスレリアーナのアトリエ	蕾斯萊莉婭娜的鍊金工房	蕾斯莱莉娅娜的炼金工房	레슬레리아나의 아틀리에
The Red Alchemist & the White Guardian	紅の錬金術士と白の守護者	紅色的鍊金術士和白色的守護者	红色的炼金术士和白色的守护者	진홍의 연금술사와 순백의 수호자
Red Alchemist & White Guardian	紅の錬金術士と白の守護者	紅色的鍊金術士和白色的守護者	红色的炼金术士和白色的守护者	진홍의 연금술사와 순백의 수호자
Categories	カテゴリ	類別	类别	카테고리
Effects	効果	效果	效果	효과
Traits	特性	特性	特性	특성
Items	アイテム	道具	道具	아이템
Filter	絞り込み	進階搜尋	高级搜索	필터
Recipe Tree	レシピ派生図	配方衍生圖	配方衍生图	레시피 파생도
Red	赤	紅	红	적
Blue	青	藍	蓝	청
Yellow	黄	黃	黄	황
Green	緑	綠	绿	녹
Purple	紫	紫	紫	자
Quest	クエスト	挑戰	挑战	퀘스트
Treasure Chest	宝箱	寶箱	宝箱	보물상자
Story	ストーリー	故事	故事	스토리
Orders	依頼発注	發送委託	发起委托	발주 의뢰
Town Requests	町の依頼	城鎮委託	城镇委托	마을의 의뢰
Fairies	妖精	妖精	妖精	요정
Rias	リアス	莉雅絲	莉雅丝	리아스
Slade	スレイ	史雷	史雷	슬레이
Raze	ロゼ	羅傑	罗杰	로제
Wilbell	ウィルベル	薇爾貝兒	薇尔贝儿	윌벨
Totori	トトリ	托托莉	托托莉	토토리
Sophie	ソフィー	蘇菲	苏菲	소피
Camilla	カミラ	卡米拉	卡米拉	카밀라
Randolf	ランドルフ	蘭道夫	兰道夫	란돌프
Heiter	ハイター	海塔	海塔	하이터
El	エル	艾爾	艾尔	엘
Ruku	ルクル	魯庫魯	鲁库鲁	루클
Poku	ポック	波克	波克	포크
Bonbon	ボネボネ	波尼波尼	波尼波尼	보네보네
Resna	レスナ	蕾斯娜	蕾斯娜	레스나
Izana	イザナ	伊札娜	伊札娜	이자나
Valeria	ヴァレリア	瓦萊莉婭	瓦莱莉娅	발레리아
Heidi	ハイディ	海蒂	海蒂	하이디
Geron	ジェロン	傑隆	杰隆	제론
Lara	ララ	拉拉	拉拉	라라
Brad	ブラッド	布萊德	布莱德	브래드
Ayesha	アーシャ	愛夏	爱夏	아샤
Ryza	ライザ	萊莎	莱莎	라이자
Vayne	ヴェイン	維因	维因	베인
Logy	ロジー	羅吉	罗吉	로지
Plachta	プラフタ	普拉芙妲	普拉芙妲	플라흐타
Klaudia	クラウディア	科洛蒂婭	科洛蒂娅	클라우디아
Mu	ミュー	繆羽	缪羽	뮤
Elie	エリー	艾莉	艾莉	에리
Viorate	ヴィオラート	薇歐拉	薇欧拉	비오라트
Meruru	メルル	梅露露	梅露露	메루루
Shallotte	シャルロッテ	夏露羅蒂	夏露罗蒂	샤를롯테
Oskar	オスカー	奧斯卡	奥斯卡	오스카
Shallistera	シャリステラ	夏莉絲堤菈	夏莉丝堤拉	샤리스테라
Firis	フィリス	菲莉絲	菲利丝	피리스
Marie	マリー	瑪莉	玛莉	마리
Corneria	コルネリア	柯爾涅莉雅	柯尔涅莉雅	코르네리아
Judie	ユーディー	優蒂	优蒂	유디
Recipe	レシピ	配方	配方	레시피
Ingredients	素材	素材	素材	소재
Consumables	使用	使用	使用	사용
Equipment	装備	裝備	装备	장비
Synthesize	調合	調合	调合	조합
Exploration	探索	探索	探索	탐색
Key Items	重要	重要	重要	중요
Catalyst Ingredients	活性素材	活性素材	活性素材	활성소재
Buy	買う	購買	购买	구입
Heiter's Shop	ハイターのお店	海塔的店	海塔的店	하이터의 가게
Synthesis Recipes	調合レシピ	調合配方	调合配方	조합 레시피
Required Ingredients	必要素材	所需素材	所需素材	필요 소재
Dropped by	落とす魔物	掉落的魔物	掉落的魔物	떨어뜨리는 몬스터
Item Mix	アイテムミックス	道具混搭	道具混搭	아이템 믹스
