text_ENG	Gift1	Gift2	Gift3	text_JPN	text_CHS	text_CHT	text_KOR	Char	Flag
The Swindler's Trap	Ingot Bug			悪徳商人の罠	黑心商人的陷阱	黑心商人的陷阱	악덕 상인의 함정	Judie	0
Cold Desert Nights	Goldinite			砂漠の夜対策	沙漠夜晚的御寒装备	沙漠夜晚的禦寒裝備	사막의 밤 대책	Mu	0
Honey Cheesecake	Eternal Breeze			はちみつチーズケーキ	蜂蜜奶酪蛋糕	蜂蜜乳酪蛋糕	꿀 치즈 케이크	Elie	0
Save the Carrots!	Eternal Crystal			にんじんのために！	为了胡萝卜！	為了胡蘿蔔！	당근을 위해!	Viorate	0
Take to the Skies	Sour Apple			空への憧れ	对天空的向往	對天空的嚮往	하늘에 대한 동경	Shallotte	0
Saving Strays	Magma Powder			動物愛護精神	爱护小动物	愛護小動物	동물 애호 정신	Vayne	0
Perfect Polish	Moonlight Firefly			お手入れ道具	保养道具	保養工具	손질 도구	Klaudia	0
The Voice of the Plants	Eternal Blossom			植物の声	植物之声	植物的聲音	식물의 목소리	Oskar	0
Still Windmills	Black Volcanic Ore			止まった風車	停转的风车	停擺的風車	멈춰버린 풍차	Firis	0
Otherworldly Apples	Ancient Sword			異世界のリンゴ物語	异世界苹果传说	異世界蘋果傳說	이세계 사과 이야기	Logy	0
Milk Dealer	Delicious Milk			ミルクと商い	牛奶和生意	牛奶與生意	우유와 영업	Corneria	0
Mmm ... Dragon	Rapier Fish			美味しい？竜のお肉	龙肉很美味吗？	美味的龍肉？	맛있어? 용의 고기	Shallistera	0
Putting Experience to Use	Golden Crown			開拓の経験を活かして	善用振兴经验	善用振興的經驗	개척 경험을 살려	Meruru	0
Soil Potato Stew	Mysterious Metal Shard			思い出のシチュー	回忆中的炖菜	回憶中的燉湯	추억의 스튜	Plachta	0
Explosive Enhancement	Red Hot Crystal			爆弾娘の爆弾事情	炸弹女孩的炸弹经	炸彈女孩的炸彈經	폭탄 아가씨의 폭탄 사정	Marie	0
Demon on the Cape	Darkness Petal			悪魔来りて	恶魔来袭	惡魔來襲	악마가 오다	Ayesha	0
Watch Your Feet!	Powerful Fish Bait			足元に気を付けろ	小心脚下	小心腳底	발밑을 조심해	Ryza	0
Best-Selling Item	Dragon Hourglass			一番ウリにしている道具	打造最棒的道具	打造最棒的道具	가장 공들인 도구	Judie	0
On an Escort Mission	Sun Necklace			護衛も冒険者のお仕事	护卫也是冒险者的本分	護衛也是冒險者的本分	호위도 모험가의 일	Mu	0
The Shadow in the Cavern	Charicheese			洞窟に待つ者	等在洞窟里的人	等在洞窟裡的人	동굴에서 기다리는 자	Elie	0
The Monster's Lair	Wish Carrot			魔物の穴倉	魔物的地窖	魔物的地窖	몬스터의 움집	Viorate	0
Beware the Giant Sheep	Alchemist's Broom			巨大なモフモフ	毛茸茸的大家伙	毛茸茸的大傢伙	거대한 복슬복슬	Shallotte	0
A Walking Mountain	Nyclo Cloth			迫る岩山	岩山的威胁	岩山的威脅	다가오는 바위산	Vayne	0
A Monster Wanderer?	Klaudia's Sweets			異界の生物？	异界生物？	異界生物？	이계의 생물?	Klaudia	0
Terror of the Plants	Dunkelheit			怯える植物	胆小的植物	膽小的植物	겁먹은 식물	Oskar	0
Mining Dangers	Roasted Rabbit			採掘は危険がいっぱい	危机四伏的采掘	危機四伏的挖掘	채굴에는 위험이 잔뜩	Firis	0
Same Monster?	Purifying Liquid			同一種？	同一种魔物？	一樣的魔物？	동일한 종?	Logy	0
Save the Milk!	Music Box of Memory			ミルクを守れ	捍卫牛奶	捍衛牛奶	우유를 지켜라	Corneria	0
Replacement Needed	Marbled Meat			求む代行者	求好心人代劳	徵求好心人代勞	요청하는 대행자	Shallistera	0
Avenge Me!	Pure Truffle			かたき討ち	报仇雪恨	報仇雪恨	복수	Meruru	0
The Creature in the Dark	Alchemic Wind-Up Key			暗闇に潜む者	黑暗中的潜伏者	黑暗中的潛伏者	어둠 속에 숨은 자	Plachta	0
Monster Seeker	Philosopher's Stones			標的はどこ？	目标在哪？	目標在哪裡？	표적은 어디?	Marie	0
Puniphobia	Star Ladybug			恐怖のぷにぷに	恐怖的噗尼噗尼	恐怖的噗尼噗尼	공포의 푸니푸니	0	1
Furious Family	Silver Web	Gold Steel Web		暴走する母子を止めろ	阻止发狂的母子	阻止發狂的母子	폭주하는 모자를 멈춰라	0	1
Golem Mining	Expiation Worm	Baby Wyrm		ゴーレム材の可能性を拓く	开发魔巨人素材的潜力	開發魔巨人素材的潛力	골렘재의 가능성을 개척	0	1
Stubborn Sentinel	Diopside	Indignant Scream	Forest Sage	その番兵は誰がために？	为谁站岗？	為誰站崗？	파수꾼은 누구를 위해?	0	1
